Negeri,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,50 to 85+
Johor,300.3,288.6,288.6,325.0,365.5,344.4,321.2,295.8,237.9,217.2,196.0,173.0,141.6,104.7,73.7,42.7,27.3,20.6,779.6
Kedah,181.3,181.2,171.7,200.0,229.9,200.6,158.6,135.9,122.5,117.5,113.5,105.6,89.4,68.6,47.0,27.2,18.1,11.9,481.3
Kelantan,196.0,190.8,175.2,187.3,198.4,191.1,119.4,104.1,86.8,85.4,84.5,79.7,64.9,48.3,35.0,19.5,10.7,8.5,351.1
Melaka,72.3,68.9,70.2,76.6,93.6,103.1,77.6,63.6,48.8,47.3,49.3,45.5,37.0,28.8,22.1,12.5,7.6,6.0,208.8
Negeri Sembilan,89.5,82.3,84.9,104.4,115.2,112.0,96.2,73.5,62.7,58.6,56.7,54.9,48.7,37.3,24.2,14.3,9.0,6.0,251.1
Pahang,138.8,136.8,143.4,149.7,166.0,170.5,138.5,129.2,88.5,80.9,76.9,73.1,61.6,47.0,35.1,18.1,11.8,8.8,332.4
Pulau Pinang,108.8,111.7,115.1,130.5,171.8,181.0,158.7,144.9,118.3,112.1,102.5,88.8,77.3,59.7,44.3,25.1,15.7,8.5,421.9
Perak,171.6,172.0,186.0,229.6,253.1,240.9,194.2,146.4,132.5,130.2,137.0,133.5,119.1,97.7,74.6,43.7,30.8,19.2,655.6
Perlis,22.0,20.6,19.5,20.3,23.1,29.3,20.9,15.5,12.2,11.3,13.1,12.5,10.9,8.8,6.3,3.8,2.5,1.8,59.7
Selangor,519.2,508.1,472.7,477.7,563.8,648.7,719.2,628.3,463.0,390.4,324.1,268.9,203.7,146.4,101.7,47.0,27.0,18.6,1137.4
Terengganu,138.2,124.6,113.7,121.5,123.5,121.2,96.8,72.2,60.3,57.0,55.1,50.9,40.4,28.5,19.5,12.1,5.5,4.7,216.7
Sabah,290.8,293.2,307.1,443.1,471.9,498.6,371.4,319.7,225.3,181.5,151.0,123.4,92.3,57.7,34.2,21.9,11.5,8.8,500.8
Sarawak,188.8,207.3,236.5,261.6,284.6,286.7,229.7,196.2,162.1,160.8,148.6,131.3,106.0,80.6,56.1,36.8,20.1,19.1,598.6
WP Kuala Lumpur,119.2,113.0,117.4,123.6,142.8,174.1,174.4,174.5,139.3,111.4,104.4,90.1,69.0,51.2,36.7,21.0,11.7,7.0,391.1
WP Labuan,8.9,8.4,8.7,8.3,8.2,9.2,9.6,10.7,6.1,5.4,4.5,3.9,2.9,1.8,1.1,0.6,0.3,0.5,15.6
WP Putrajaya,12.9,14.5,9.0,6.8,8.9,6.1,8.4,14.6,7.3,4.0,3.7,3.5,2.6,1.0,0.3,0.1,0.1,0.1,11.4
